epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1028.67,0.84827,0.71,2.28396,0.85983,0.86178,0.87767,0.57574,1.11424,0.8595,2.97866,0.000352076,0.000352076,0.000352076
71,1043.55,0.81748,0.68486,2.24867,0.79794,0.8578,0.86198,0.54948,1.17369,0.89233,2.99764,0.000341077,0.000341077,0.000341077
72,1058.39,0.84435,0.69331,2.24546,0.8577,0.83243,0.86239,0.54464,1.18345,0.91865,3.00709,0.000330078,0.000330078,0.000330078
73,1073.25,0.82885,0.68535,2.23668,0.90416,0.83435,0.9093,0.57061,1.2299,0.82246,3.06383,0.000319079,0.000319079,0.000319079
74,1088.16,0.82468,0.70023,2.2814,0.81912,0.84206,0.85385,0.55128,1.18487,0.84704,3.09961,0.00030808,0.00030808,0.00030808
75,1103.45,0.82201,0.67472,2.26382,0.88919,0.87539,0.9111,0.56233,1.22375,0.80788,3.07514,0.000297081,0.000297081,0.000297081
76,1118.34,0.82536,0.71192,2.28577,0.86984,0.88921,0.88591,0.57272,1.17957,0.79049,3.04563,0.000286083,0.000286083,0.000286083
77,1133.06,0.83365,0.68633,2.25182,0.80649,0.86698,0.85819,0.5469,1.2324,0.85647,3.17535,0.000275084,0.000275084,0.000275084
78,1147.82,0.81687,0.67762,2.27978,0.85494,0.82259,0.86839,0.56253,1.19678,0.9,3.0372,0.000264085,0.000264085,0.000264085
79,1162.84,0.8075,0.66887,2.23779,0.78244,0.82474,0.85465,0.55406,1.19092,0.86918,3.02314,0.000253086,0.000253086,0.000253086
80,1177.69,0.81198,0.6711,2.23357,0.83969,0.82476,0.87263,0.56856,1.21674,0.81392,3.10497,0.000242087,0.000242087,0.000242087
81,1192.76,0.80823,0.66359,2.25793,0.8136,0.87587,0.89018,0.58076,1.19305,0.84072,2.98741,0.000231088,0.000231088,0.000231088
82,1207.82,0.80032,0.65749,2.22486,0.91653,0.81343,0.90749,0.59812,1.16501,0.81395,2.9338,0.000220089,0.000220089,0.000220089
83,1223.4,0.7798,0.64651,2.19355,0.85771,0.8004,0.87953,0.56126,1.21202,0.87077,3.08074,0.00020909,0.00020909,0.00020909
84,1238.39,0.77694,0.63852,2.19342,0.85893,0.83803,0.86756,0.56652,1.20419,0.85777,3.09204,0.000198091,0.000198091,0.000198091
85,1252.82,0.79257,0.65824,2.25038,0.83669,0.80584,0.85406,0.55714,1.18501,0.85874,3.05557,0.000187092,0.000187092,0.000187092
86,1267.58,0.74953,0.62757,2.22591,0.83571,0.86131,0.87977,0.57224,1.1868,0.89579,3.03749,0.000176094,0.000176094,0.000176094
87,1282.46,0.76659,0.63678,2.18239,0.85382,0.85204,0.88767,0.58812,1.18405,0.83317,3.05886,0.000165095,0.000165095,0.000165095
88,1297.25,0.77679,0.62949,2.22946,0.8632,0.84202,0.89078,0.57837,1.19754,0.89472,3.08926,0.000154096,0.000154096,0.000154096
89,1311.93,0.76958,0.63601,2.23701,0.85559,0.83631,0.89296,0.5974,1.15483,0.80814,2.98031,0.000143097,0.000143097,0.000143097
90,1326.77,0.7576,0.62137,2.20678,0.77734,0.89174,0.86463,0.58207,1.19369,0.8429,3.08944,0.000132098,0.000132098,0.000132098
91,1371.96,0.52973,0.44236,2.02781,0.85906,0.84951,0.87724,0.57713,1.13373,0.78569,2.98788,0.000121099,0.000121099,0.000121099
92,1386.59,0.50099,0.38354,1.98332,0.8584,0.83559,0.8799,0.57924,1.14878,0.81664,3.02717,0.0001101,0.0001101,0.0001101
93,1400.96,0.48931,0.37524,1.97187,0.85791,0.79873,0.87215,0.58456,1.16217,0.88272,3.04664,9.91012e-05,9.91012e-05,9.91012e-05
94,1415.29,0.50518,0.36702,2.02338,0.8778,0.77808,0.87064,0.57471,1.19753,0.88854,3.05764,8.81023e-05,8.81023e-05,8.81023e-05
95,1429.65,0.47675,0.36654,1.95162,0.88118,0.805,0.87805,0.57692,1.18719,0.84119,3.11408,7.71034e-05,7.71034e-05,7.71034e-05
96,1444.04,0.49033,0.36554,1.94754,0.86746,0.85736,0.89797,0.58856,1.17835,0.81583,3.07992,6.61045e-05,6.61045e-05,6.61045e-05
97,1458.55,0.48023,0.36842,1.92901,0.86177,0.85554,0.89327,0.58751,1.16763,0.83675,3.04216,5.51056e-05,5.51056e-05,5.51056e-05
98,1472.97,0.46939,0.34855,1.96373,0.82887,0.83015,0.88578,0.58564,1.18972,0.85148,3.09946,4.41067e-05,4.41067e-05,4.41067e-05
99,1487.33,0.47187,0.35376,1.91268,0.80139,0.85379,0.87715,0.57587,1.221,0.85296,3.14038,3.31078e-05,3.31078e-05,3.31078e-05
100,1501.84,0.45457,0.34405,1.91183,0.81389,0.86677,0.89341,0.58489,1.17918,0.86429,3.11045,2.21089e-05,2.21089e-05,2.21089e-05
